scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,3,"[100, 100]",StrapGA+S_4b,"[[12330, 1, 23277, 7352]]",[3242],[6.212390661239624],[3.8507348251342783]
1,stationary,3,"[100, 100]",StrapGA+S_4b,"[[22632, 7734, 14775]]",[259],[0.4453389644622803],[2.6039160537719725]
2,stationary,3,"[100, 100]",StrapGA+S_4b,"[[4, 4129, 12579, 27870]]",[8038],[16.295482635498047],[4.526828193664551]
3,stationary,3,"[100, 100]",StrapGA+S_4b,"[[12029, 22073, 6748]]",[997],[2.0167582035064697],[3.557416248321533]
4,stationary,3,"[100, 100]",StrapGA+S_4b,"[[0, 22685, 17728, 2834]]",[5539],[10.589158058166504],[4.485121002197266]
5,stationary,3,"[100, 100]",StrapGA+S_4b,"[[7380, 12331, 22372, 16127]]",[7807],[16.79290747642517],[4.299529566764832]
6,stationary,3,"[100, 100]",StrapGA+S_4b,"[[7574, 17528, 22053, 6469]]",[3469],[6.559146881103516],[3.329503211975098]
7,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 7376, 3, 22782, 12436]]",[2070],[3.911353588104248],[4.266706256866455]
8,stationary,3,"[100, 100]",StrapGA+S_4b,"[[15975, 12475, 27282, 17629, 3140]]",[82803],[167.1514904499054],[4.914010243415833]
9,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 3771, 3, 22228, 16929]]",[3571],[6.807580471038818],[3.778587245941162]
10,stationary,3,"[100, 100]",StrapGA+S_4b,"[[17571, 1, 22679, 3727]]",[1227],[2.391388177871704],[3.6354705047607423]
11,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 6945, 22874, 12531]]",[3312],[6.190803527832031],[3.988503341674805]
12,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 2570, 17337, 26978]]",[807],[1.4409372806549072],[3.3414530038833616]
13,stationary,3,"[100, 100]",StrapGA+S_4b,"[[22285, 16784, 4043]]",[699],[1.1833267211914062],[2.9478265762329103]
