scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[6974, 12809, 17, 46025, 21792, 64420, 59185, 72376, 38032]]",[214250],[360.0169382095337],[8.796997623443604]
1,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[55224, 30, 28894, 12125, 50, 11541, 71065, 6941, 37309, 66163, 49332]]",[207730],[360.01231956481934],[9.586907863616943]
2,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[58516, 44509, 73280, 38889, 15848, 60983, 3239, 25779]]",[243738],[360.0232021808624],[8.337751808166503]
3,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[49292, 29175, 38233, 50, 14690, 74067, 50768, 7504, 61823]]",[247587],[360.01297426223755],[7.271095657348633]
4,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[1513, 24919, 36747, 42492, 58367, 64039, 17685, 76367]]",[223255],[360.01559233665466],[7.7635063934326185]
5,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[54164, 64196, 15680, 6720, 76345, 41407, 32178, 63545, 28214]]",[213945],[360.0180027484894],[9.52801507949829]
6,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[3, 46266, 75918, 17389, 33925, 18, 58725, 28666, 3888, 60884]]",[221696],[360.01917123794556],[8.52218994140625]
7,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[49228, 8596, 30876, 27723, 71604, 65740, 59066, 14609]]",[239194],[360.0304238796234],[8.403810181617738]
8,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[43414, 23, 21842, 61922, 37834, 6494, 14268, 51768, 76075]]",[231563],[360.0124852657318],[7.832741980552673]
9,stationary,8,"[100, 100]",StrapGA+S_sort_4b,"[[33, 68797, 22700, 38947, 79324, 48071, 11015, 3033, 56593]]",[214520],[360.0177881717682],[9.06387773513794]
