scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,8,"[100, 100]",StrapGA+S_4b,"[[6974, 12809, 46, 44494, 72376, 38032, 59185, 21792, 46025, 64420]]",[222894],[360.00631737709045],[8.634480056762694]
1,stationary,8,"[100, 100]",StrapGA+S_4b,"[[55224, 71065, 0, 11541, 6941, 30, 28894, 37309, 66163, 49332]]",[221598],[360.02205896377563],[9.714719944000246]
2,stationary,8,"[100, 100]",StrapGA+S_4b,"[[58516, 44509, 3239, 38889, 15848, 60983, 73280, 25779]]",[250950],[360.02807211875916],[8.46052577972412]
3,stationary,8,"[100, 100]",StrapGA+S_4b,"[[49292, 29175, 38233, 50, 14690, 74067, 50768, 7504, 61823]]",[246892],[360.0123870372772],[7.271095657348633]
4,stationary,8,"[100, 100]",StrapGA+S_4b,"[[1513, 24919, 36747, 42492, 58367, 64039, 17685, 76367]]",[235171],[360.00114274024963],[7.7635063934326185]
5,stationary,8,"[100, 100]",StrapGA+S_4b,"[[28214, 54164, 13, 76345, 41407, 32178, 63545, 15680, 6720]]",[225447],[360.0086929798126],[9.609752407073977]
6,stationary,8,"[100, 100]",StrapGA+S_4b,"[[33925, 3888, 75918, 17389, 58725, 46266, 60884, 28666]]",[229560],[360.00788974761963],[8.618503665924074]
7,stationary,8,"[100, 100]",StrapGA+S_4b,"[[27723, 71604, 65740, 49228, 8596, 30876, 14609, 59066]]",[244116],[360.0094790458679],[8.558578224182128]
8,stationary,8,"[100, 100]",StrapGA+S_4b,"[[43414, 23, 21842, 37834, 6494, 14268, 51768, 61922, 76075]]",[244314],[360.00743317604065],[7.814570231437683]
9,stationary,8,"[100, 100]",StrapGA+S_4b,"[[33, 68797, 22700, 38947, 79324, 48071, 11015, 3033, 56593]]",[221500],[360.00060176849365],[9.06387773513794]
10,stationary,8,"[100, 100]",StrapGA+S_4b,"[[10, 45686, 79309, 52396, 24210, 17477, 35836, 60975, 1416, 25016]]",[229655],[360.0162727832794],[8.160876331329346]
11,stationary,8,"[100, 100]",StrapGA+S_4b,"[[67813, 27, 76312, 11602, 46328, 2037, 24623, 38592, 53997]]",[239482],[360.01900935173035],[7.610731544494629]
12,stationary,8,"[100, 100]",StrapGA+S_4b,"[[11687, 76672, 36238, 7589, 57321, 62806, 49245, 24388]]",[254863],[360.0038607120514],[7.890024061203004]
13,stationary,8,"[100, 100]",StrapGA+S_4b,"[[45396, 24175, 22, 13619, 54334, 68110, 6367, 72399, 21080, 36738]]",[218206],[360.00851106643677],[8.85354621887207]
14,stationary,8,"[100, 100]",StrapGA+S_4b,"[[77468, 60829, 36304, 10991, 7817, 28646, 50865, 43517]]",[253630],[360.01042652130127],[8.561612186431885]
15,stationary,8,"[100, 100]",StrapGA+S_4b,"[[47406, 75918, 33747, 63199, 25085, 17969, 51046, 3479]]",[249146],[360.00007724761963],[7.878377227783203]
16,stationary,8,"[100, 100]",StrapGA+S_4b,"[[41405, 1379, 27, 76185, 38698, 58833, 18070, 22222, 63587]]",[253466],[360.01415157318115],[7.2919768238067615]
17,stationary,8,"[100, 100]",StrapGA+S_4b,"[[22228, 2895, 54018, 75467, 34346, 18225, 67446, 47191]]",[231580],[360.0000801086426],[7.902923183441162]
18,stationary,8,"[100, 100]",StrapGA+S_4b,"[[26972, 4839, 72831, 46732, 56400, 62409, 38305, 18972]]",[245420],[360.0110197067261],[8.58402259349823]
19,stationary,8,"[100, 100]",StrapGA+S_4b,"[[1245, 16, 34587, 28097, 49166, 76268, 11700, 64316, 54042]]",[244258],[360.0056781768799],[7.205231318473816]
20,stationary,8,"[100, 100]",StrapGA+S_4b,"[[31742, 26177, 10914, 79282, 67620, 8202, 54994, 45939]]",[233078],[360.0027894973755],[9.486657943725586]
21,stationary,8,"[100, 100]",StrapGA+S_4b,"[[63765, 21, 7333, 35246, 20, 72115, 24680, 57702, 40973, 14601]]",[256606],[360.0157165527344],[7.646216993331908]
22,stationary,8,"[100, 100]",StrapGA+S_4b,"[[11298, 8302, 21882, 63115, 77770, 44747, 36436, 52798]]",[252856],[360.0121214389801],[8.416891765594482]
23,stationary,8,"[100, 100]",StrapGA+S_4b,"[[8636, 74808, 51986, 17022, 31230, 67187, 41566, 23789]]",[242942],[360.00533628463745],[7.765768156051636]
24,stationary,8,"[100, 100]",StrapGA+S_4b,"[[26531, 66112, 35, 2194, 51509, 79069, 32976, 18642, 44507]]",[238752],[360.0236065387726],[8.892471680641174]
25,stationary,8,"[100, 100]",StrapGA+S_4b,"[[44, 26988, 69098, 72434, 1305, 34623, 13077, 48720, 54797]]",[225247],[360.00011944770813],[8.279218378067018]
26,stationary,8,"[100, 100]",StrapGA+S_4b,"[[38, 46564, 12, 73164, 2609, 65221, 17131, 38865, 54680, 23530]]",[213228],[360.0055079460144],[8.859763679504395]
27,stationary,8,"[100, 100]",StrapGA+S_4b,"[[48, 33, 76173, 62767, 8, 28719, 16226, 35391, 51384, 43439, 3120]]",[228757],[360.01797318458557],[8.28091187477112]
28,stationary,8,"[100, 100]",StrapGA+S_4b,"[[4818, 24, 47896, 73195, 23636, 1707, 16298, 53510, 68419, 34979]]",[209687],[360.0219578742981],[8.48234408378601]
29,stationary,8,"[100, 100]",StrapGA+S_4b,"[[43192, 12144, 33268, 75076, 26568, 63838, 57784, 7925]]",[227519],[360.0053243637085],[8.337389373779297]
30,stationary,8,"[100, 100]",StrapGA+S_4b,"[[26, 65544, 5627, 78847, 63833, 34348, 47485, 25610, 17924, 5478, 59094]]",[227684],[360.00159764289856],[10.034677715301513]
31,stationary,8,"[100, 100]",StrapGA+S_4b,"[[74966, 38895, 53197, 46081, 29324, 12548, 66505, 4320]]",[251264],[360.00257897377014],[7.380381374359131]
