scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[16452, 27101, 2283]]",[152],[0.2842442989349365],[3.0884994997836577]
1,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[27222, 3020, 14064]]",[281],[0.5662600994110107],[3.614161836982954]
2,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[28473, 4397, 15537, 7211]]",[1020],[2.1493334770202637],[4.32021328765567]
3,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[3110, 13472, 27825]]",[210],[0.43287205696105957],[2.8086536483009263]
4,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[7899, 14975, 26736]]",[347],[0.712221622467041],[3.2365577867715665]
5,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[27215, 13174, 7364]]",[238],[0.5647258758544922],[3.1959342918773688]
6,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[28260, 1576, 14169]]",[749],[1.5808994770050049],[3.3718235620177617]
7,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[4330, 19062, 24385]]",[247],[0.5218887329101562],[3.281185920639793]
8,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[16040, 21850, 4265, 27796]]",[1834],[4.027054786682129],[4.465145959004317]
9,stationary,3,"[101, 101]",StrapGA+S_sort_4b,"[[28806, 18569, 4073]]",[159],[0.30377721786499023],[3.3671730494735264]
