scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,4,"[100, 200]",Labbe,"[[64661, 14627, 52658, 23229]]",[10],[0.013359785079956055],[20.220000000000002]
1,mobile,4,"[100, 200]",Labbe,"[[66959, 29390, 55841, 7629]]",[10],[0.016958951950073242],[18.880000000000003]
2,mobile,4,"[100, 200]",Labbe,"[[13630, 72596, 30560, 63987, 52195]]",[13],[0.02399611473083496],[16.240000000000002]
3,mobile,4,"[100, 200]",Labbe,"[[13760, 44192, 23691, 74794, 27850]]",[12],[0.020959854125976562],[18.02]
4,mobile,4,"[100, 200]",Labbe,"[[70690, 44779, 35521, 67860, 7429, 31566]]",[23],[0.04465961456298828],[23.86]
5,mobile,4,"[100, 200]",Labbe,"[[75588, 29130, 10250, 24056, 56840]]",[14],[0.026085376739501953],[17.96]
6,mobile,4,"[100, 200]",Labbe,"[[36979, 13529, 64832, 4568, 50788]]",[13],[0.02313995361328125],[22.34]
7,mobile,4,"[100, 200]",Labbe,"[[26393, 5632, 74776, 47959]]",[10],[0.014266729354858398],[13.9]
8,mobile,4,"[100, 200]",Labbe,"[[27887, 9837, 63456, 56439, 28195]]",[17],[0.028208255767822266],[19.22]
9,mobile,4,"[100, 200]",Labbe,"[[23829, 63062, 49461, 16241]]",[10],[0.015634536743164062],[15.080000000000002]
10,mobile,4,"[100, 200]",Labbe,"[[13859, 66163, 55591, 24653]]",[10],[0.017708539962768555],[15.100000000000001]
11,mobile,4,"[100, 200]",Labbe,"[[55227, 36463, 69967, 8636]]",[10],[0.013408422470092773],[11.56]
12,mobile,4,"[100, 200]",Labbe,"[[49377, 66631, 3662, 36043]]",[10],[0.015144586563110352],[15.660000000000002]
13,mobile,4,"[100, 200]",Labbe,"[[43773, 24061, 13062, 71974]]",[10],[0.015452384948730469],[13.96]
14,mobile,4,"[100, 200]",Labbe,"[[66587, 28522, 13789, 43260, 29853]]",[16],[0.031824350357055664],[16.240000000000002]
15,mobile,4,"[100, 200]",Labbe,"[[75364, 56795, 25459, 8586]]",[10],[0.011935949325561523],[14.580000000000002]
16,mobile,4,"[100, 200]",Labbe,"[[76393, 23392, 43959, 11661]]",[10],[0.012818336486816406],[16.8]
17,mobile,4,"[100, 200]",Labbe,"[[13654, 45662, 63229, 30184]]",[10],[0.013895750045776367],[13.96]
18,mobile,4,"[100, 200]",Labbe,"[[36764, 9567, 43165, 67849]]",[10],[0.018241167068481445],[14.46]
19,mobile,4,"[100, 200]",Labbe,"[[26371, 73759, 15791, 43851]]",[10],[0.011273384094238281],[15.96]
20,mobile,4,"[100, 200]",Labbe,"[[31387, 64965, 8320, 44629, 14835]]",[12],[0.027314186096191406],[17.84]
21,mobile,4,"[100, 200]",Labbe,"[[5580, 25246, 51996, 72961]]",[10],[0.016925334930419922],[15.920000000000002]
22,mobile,4,"[100, 200]",Labbe,"[[10031, 23459, 73193, 56439]]",[10],[0.015162229537963867],[17.200000000000003]
23,mobile,4,"[100, 200]",Labbe,"[[75463, 34231, 10912, 43782, 6049]]",[12],[0.022440195083618164],[18.240000000000002]
24,mobile,4,"[100, 200]",Labbe,"[[63959, 11168, 55234, 28238]]",[10],[0.010888338088989258],[7.32]
25,mobile,4,"[100, 200]",Labbe,"[[4827, 30776, 51863, 65661, 32029]]",[13],[0.02216172218322754],[15.940000000000001]
26,mobile,4,"[100, 200]",Labbe,"[[52142, 8591, 74796, 45359, 33560, 50053]]",[18],[0.03454160690307617],[21.939999999999998]
27,mobile,4,"[100, 200]",Labbe,"[[6229, 55563, 29482, 76653, 26577]]",[13],[0.023200511932373047],[15.24]
28,mobile,4,"[100, 200]",Labbe,"[[65345, 36585, 63332, 5773, 76648, 49854]]",[23],[0.044983625411987305],[22.839999999999996]
29,mobile,4,"[100, 200]",Labbe,"[[12588, 45061, 24230, 64574, 13454]]",[17],[0.03140735626220703],[20.740000000000002]
30,mobile,4,"[100, 200]",Labbe,"[[24394, 7759, 66630, 55377]]",[10],[0.01384425163269043],[16.740000000000002]
31,mobile,4,"[100, 200]",Labbe,"[[35791, 6478, 54045, 8573, 74759]]",[13],[0.022177696228027344],[22.68]
32,mobile,4,"[100, 200]",Labbe,"[[30427, 56161, 76837, 8459]]",[10],[0.012385129928588867],[13.46]
33,mobile,4,"[100, 200]",Labbe,"[[75961, 15694, 46635, 24184, 15192]]",[13],[0.02210688591003418],[19.700000000000003]
34,mobile,4,"[100, 200]",Labbe,"[[76793, 30592, 52958, 3184, 44227]]",[15],[0.025870323181152344],[15.7]
35,mobile,4,"[100, 200]",Labbe,"[[43630, 12639, 24190, 68559]]",[10],[0.014437437057495117],[16.28]
36,mobile,4,"[100, 200]",Labbe,"[[28760, 74094, 6235, 56632, 73863]]",[13],[0.023891210556030273],[15.32]
37,mobile,4,"[100, 200]",Labbe,"[[43028, 10387, 63394, 30857]]",[10],[0.012349605560302734],[16.52]
38,mobile,4,"[100, 200]",Labbe,"[[75027, 31062, 5390, 43252]]",[10],[0.014230966567993164],[11.94]
39,mobile,4,"[100, 200]",Labbe,"[[32785, 45577, 11653, 64647]]",[10],[0.01583695411682129],[12.700000000000001]
