scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,5,"[100, 100]",StrapGA+S_4b,"[[35708, 4959, 46858, 4649, 9, 14785, 27080]]",[21758],[36.60223627090454],[5.514828157424926]
1,stationary,5,"[100, 100]",StrapGA+S_4b,"[[5491, 14451, 43305, 26447, 11740, 34269]]",[21521],[36.17250466346741],[5.410285806655883]
2,stationary,5,"[100, 100]",StrapGA+S_4b,"[[23144, 37072, 7897, 12679, 44593]]",[6279],[10.286113023757935],[4.663673305511475]
3,stationary,5,"[100, 100]",StrapGA+S_4b,"[[12477, 43540, 38645, 8194, 25379]]",[5954],[9.373486757278442],[5.38076880455017]
4,stationary,5,"[100, 100]",StrapGA+S_4b,"[[4563, 25843, 33992, 17861, 47839]]",[10977],[17.990712881088257],[5.161228532791137]
5,stationary,5,"[100, 100]",StrapGA+S_4b,"[[17, 16249, 32836, 48276, 3785, 22808]]",[54706],[90.22600102424622],[5.833516330718994]
6,stationary,5,"[100, 100]",StrapGA+S_4b,"[[41407, 18366, 5865, 34297, 27032, 5264]]",[32533],[55.591362953186035],[5.856736059188844]
7,stationary,5,"[100, 100]",StrapGA+S_4b,"[[42940, 17444, 3684, 31769, 28884]]",[59970],[101.69419288635254],[5.613895015716553]
8,stationary,5,"[100, 100]",StrapGA+S_4b,"[[21269, 0, 18404, 3, 48550, 8271, 35582]]",[4254],[6.3454179763793945],[4.682251822948456]
9,stationary,5,"[100, 100]",StrapGA+S_4b,"[[16810, 43409, 2851, 24938, 38583]]",[3131],[4.847557783126831],[4.0442736530303955]
10,stationary,5,"[100, 100]",StrapGA+S_4b,"[[38367, 11, 44564, 23335, 2692, 18407, 44879]]",[117567],[197.41991686820984],[5.946161117553711]
11,stationary,5,"[100, 100]",StrapGA+S_4b,"[[7390, 13197, 37845, 22569, 41636]]",[17267],[28.55850100517273],[5.364000759124757]
12,stationary,5,"[100, 100]",StrapGA+S_4b,"[[16, 3939, 46629, 21739, 32976, 18806]]",[22819],[36.57658529281616],[5.652118358612061]
