scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,5,"[101, 201]",StrapGA_4b,"[[98133, 51958, 70084, 8820, 37332]]",[4298],[6.388847589492798],[6.502712533025459]
1,stationary,5,"[101, 201]",StrapGA_4b,"[[45742, 70937, 16822, 97859, 12582, 53931, 26083]]",[225566],[356.4203255176544],[8.647490514623057]
2,stationary,5,"[101, 201]",StrapGA_4b,"[[5429, 70987, 86799, 44077, 26242]]",[20239],[30.139089584350586],[7.98930814006541]
3,stationary,5,"[101, 201]",StrapGA_4b,"[[56797, 28598, 95266, 77736, 10196]]",[2886],[3.9081242084503174],[6.867294972485835]
4,stationary,5,"[101, 201]",StrapGA_4b,"[[67483, 26201, 7824, 54208, 95244, 56006]]",[25075],[36.57028007507324],[7.879773906669995]
5,stationary,5,"[101, 201]",StrapGA_4b,"[[77371, 25503, 14979, 85482, 55746]]",[22297],[32.959486961364746],[7.537149825898728]
6,stationary,5,"[101, 201]",StrapGA_4b,"[[65513, 9334, 52238, 84490, 36306]]",[14324],[20.91002893447876],[7.455912089583897]
7,stationary,5,"[101, 201]",StrapGA_4b,"[[4950, 75274, 85498, 27976, 56947, 76916]]",[214592],[322.3818323612213],[8.09134945255695]
8,stationary,5,"[101, 201]",StrapGA_4b,"[[91993, 51558, 4750, 64089, 33955]]",[26914],[43.13837742805481],[8.31124167867226]
9,stationary,5,"[101, 201]",StrapGA_4b,"[[90115, 36384, 77761, 55559, 8781]]",[5436],[7.768570423126221],[7.885526071680654]
10,stationary,5,"[101, 201]",StrapGA_4b,"[[75271, 30736, 57669, 35128, 10488, 86940]]",[25418],[39.25322222709656],[7.273642357741252]
11,stationary,5,"[101, 201]",StrapGA_4b,"[[45089, 31396, 86756, 14222, 67903, 14032]]",[3920],[6.019514083862305],[7.207294059980034]
12,stationary,5,"[101, 201]",StrapGA_4b,"[[84711, 3273, 50514, 70725, 31469]]",[26644],[39.17922878265381],[6.434201495482189]
13,stationary,5,"[101, 201]",StrapGA_4b,"[[37333, 97321, 54062, 7073, 64654]]",[2744],[3.7314271926879883],[8.021708545118274]
14,stationary,5,"[101, 201]",StrapGA_4b,"[[68294, 6340, 88027, 55465, 33232]]",[15823],[23.465182542800903],[7.782383333338369]
15,stationary,5,"[101, 201]",StrapGA_4b,"[[7343, 57066, 35513, 88636, 48608, 13351, 66467]]",[232659],[360.01020431518555],[8.79643355643395]
16,stationary,5,"[101, 201]",StrapGA_4b,"[[51557, 12653, 24358, 71303, 94331]]",[44887],[68.19950079917908],[8.080884385817122]
17,stationary,5,"[101, 201]",StrapGA_4b,"[[24067, 51963, 96014, 68013, 4530, 35031, 46376]]",[225979],[360.00171518325806],[9.08603508071144]
18,stationary,5,"[101, 201]",StrapGA_4b,"[[54396, 17360, 31801, 92417, 68329]]",[2043],[2.72493052482605],[6.056062429258139]
19,stationary,5,"[101, 201]",StrapGA_4b,"[[85499, 43579, 32419, 73354, 11985]]",[15666],[24.328787088394165],[7.249428664103593]
20,stationary,5,"[101, 201]",StrapGA_4b,"[[35653, 91037, 64166, 11097, 50606]]",[5209],[7.179121017456055],[8.202038094548897]
21,stationary,5,"[101, 201]",StrapGA_4b,"[[76738, 30298, 3712, 57086, 91034]]",[96416],[145.8276011943817],[8.071674715174307]
22,stationary,5,"[101, 201]",StrapGA_4b,"[[29800, 66915, 9947, 52626, 98360, 8346]]",[15942],[25.262556076049805],[8.035699515767618]
23,stationary,5,"[101, 201]",StrapGA_4b,"[[31280, 57977, 94128, 2925, 24261, 75303]]",[55873],[81.88210940361023],[7.255527233841396]
24,stationary,5,"[101, 201]",StrapGA_4b,"[[88368, 3503, 37564, 51638, 78309, 49635, 92577]]",[231846],[360.73835802078247],[8.309937986052862]
25,stationary,5,"[101, 201]",StrapGA_4b,"[[63802, 25370, 17406, 94863, 51995, 94069]]",[64634],[97.0401086807251],[7.849885035977505]
26,stationary,5,"[101, 201]",StrapGA_4b,"[[65682, 87671, 3412, 56077, 32647]]",[20872],[29.340449810028076],[7.591009140014649]
27,stationary,5,"[101, 201]",StrapGA_4b,"[[13672, 45903, 98194, 74232, 92403, 34483]]",[22007],[33.55806255340576],[8.710727023134137]
28,stationary,5,"[101, 201]",StrapGA_4b,"[[3321, 32876, 47781, 68410, 87028]]",[5349],[7.786178827285767],[7.843083976518989]
29,stationary,5,"[101, 201]",StrapGA_4b,"[[3856, 76939, 26656, 56553, 85895, 14912, 51934]]",[97543],[145.43227767944336],[8.865392424328492]
30,stationary,5,"[101, 201]",StrapGA_4b,"[[13248, 68116, 33503, 55925, 88749]]",[7589],[11.476064682006836],[7.883527208082747]
31,stationary,5,"[101, 201]",StrapGA_4b,"[[16994, 49183, 27510, 98531, 65402]]",[4832],[7.140755653381348],[7.456227406416789]
32,stationary,5,"[101, 201]",StrapGA_4b,"[[36490, 55013, 67245, 12337, 95452]]",[22359],[31.707869052886963],[8.674852730023979]
33,stationary,5,"[101, 201]",StrapGA_4b,"[[94397, 66782, 33852, 14919, 23282, 54961]]",[102023],[146.505606174469],[9.440987834363881]
34,stationary,5,"[101, 201]",StrapGA_4b,"[[48110, 85557, 32276, 10427, 65494, 11429]]",[14409],[22.013672828674316],[7.7123224163999655]
35,stationary,5,"[101, 201]",StrapGA_4b,"[[6572, 44503, 92701, 75700, 36451]]",[7466],[10.622037649154663],[7.8066048480496555]
36,stationary,5,"[101, 201]",StrapGA_4b,"[[16280, 54023, 67922, 56192, 87904, 27835]]",[10904],[16.1921603679657],[6.97152971702047]
37,stationary,5,"[101, 201]",StrapGA_4b,"[[64425, 36726, 44874, 6015, 92558]]",[26920],[40.68522667884827],[8.70597289812447]
38,stationary,5,"[101, 201]",StrapGA_4b,"[[86772, 15883, 54183, 64894, 32037]]",[7314],[10.43209981918335],[7.916061382482548]
39,stationary,5,"[101, 201]",StrapGA_4b,"[[89560, 12264, 27620, 47192, 9847, 77755]]",[13598],[20.033591747283936],[7.528144432294487]
