scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,5,"[101, 201]",StrapGA+S_4b,"[[98133, 51958, 2, 70084, 8820, 37332]]",[14543],[23.70719265937805],[6.455646885031522]
1,stationary,5,"[101, 201]",StrapGA+S_4b,"[[70539, 53931, 26083, 70937, 3, 97859, 12582]]",[197419],[360.019962310791],[8.029456383166927]
2,stationary,5,"[101, 201]",StrapGA+S_4b,"[[5429, 70987, 86799, 44077, 26242]]",[116418],[200.88879013061523],[7.98930814006541]
3,stationary,5,"[101, 201]",StrapGA+S_4b,"[[56797, 28598, 95266, 77736, 10196]]",[16722],[27.33505606651306],[6.867294972485835]
4,stationary,5,"[101, 201]",StrapGA+S_4b,"[[2, 67483, 7824, 11, 95244, 56006, 26201]]",[85633],[149.2128427028656],[7.27905789365863]
5,stationary,5,"[101, 201]",StrapGA+S_4b,"[[77371, 25503, 14979, 85482, 55746]]",[15070],[26.98112463951111],[7.537149825898728]
6,stationary,5,"[101, 201]",StrapGA+S_4b,"[[10, 9334, 84490, 36306, 65513, 52238]]",[28534],[48.581730127334595],[7.348973937081818]
7,stationary,5,"[101, 201]",StrapGA+S_4b,"[[73866, 85498, 27976, 56947, 76916, 4950]]",[202284],[360.0089359283447],[8.057523266631778]
8,stationary,5,"[101, 201]",StrapGA+S_4b,"[[91993, 10, 64089, 51558, 4750, 33955]]",[55745],[102.44134783744812],[8.049141111468323]
9,stationary,5,"[101, 201]",StrapGA+S_4b,"[[90115, 36384, 77761, 55559, 8781]]",[62040],[104.2286102771759],[7.885526071680654]
10,stationary,5,"[101, 201]",StrapGA+S_4b,"[[10488, 86940, 75271, 9, 35128, 57669]]",[32840],[57.52144932746887],[6.32329102034616]
11,stationary,5,"[101, 201]",StrapGA+S_4b,"[[45089, 31396, 4821, 67903, 14032, 86756]]",[8769],[15.694069147109985],[7.565246442284915]
12,stationary,5,"[101, 201]",StrapGA+S_4b,"[[84711, 3273, 50514, 70725, 31469]]",[68876],[117.89556837081909],[6.434201495482189]
13,stationary,5,"[101, 201]",StrapGA+S_4b,"[[64654, 97321, 8, 7073, 54062, 37333]]",[33241],[54.21366024017334],[7.91051274667872]
14,stationary,5,"[101, 201]",StrapGA+S_4b,"[[68294, 6340, 88027, 55465, 33232]]",[8198],[14.570690155029297],[7.782383333338369]
15,stationary,5,"[101, 201]",StrapGA+S_4b,"[[7, 88636, 5, 48608, 13351, 66467, 35513]]",[200474],[360.0109004974365],[8.047766377666209]
16,stationary,5,"[101, 201]",StrapGA+S_4b,"[[14, 51557, 12, 12653, 71303, 24358, 94331]]",[117194],[208.04975533485413],[7.826670716540648]
17,stationary,5,"[101, 201]",StrapGA+S_4b,"[[50787, 5, 54358, 96014, 68013, 4530, 35031, 46376]]",[192255],[360.0237183570862],[9.025992224476125]
18,stationary,5,"[101, 201]",StrapGA+S_4b,"[[1, 54396, 17360, 31801, 92417, 68329]]",[6424],[10.488174676895142],[6.037498329653598]
19,stationary,5,"[101, 201]",StrapGA+S_4b,"[[85499, 43579, 32419, 73354, 11985]]",[211997],[360.0043754577637],[7.249428664103593]
20,stationary,5,"[101, 201]",StrapGA+S_4b,"[[64166, 11097, 50606, 5, 91037, 35653]]",[27503],[46.27217411994934],[8.093265563662689]
21,stationary,5,"[101, 201]",StrapGA+S_4b,"[[76738, 30298, 3712, 57086, 91034]]",[202520],[360.01224517822266],[8.071674715174307]
22,stationary,5,"[101, 201]",StrapGA+S_4b,"[[29800, 66915, 3, 52626, 98360, 8346]]",[149278],[267.6724979877472],[8.004384212682744]
23,stationary,5,"[101, 201]",StrapGA+S_4b,"[[24681, 75303, 57977, 94128, 2925, 24261]]",[155330],[272.5339879989624],[7.5829817913546425]
24,stationary,5,"[101, 201]",StrapGA+S_4b,"[[9, 3503, 92595, 78309, 37564, 49635, 92577]]",[192766],[360.0041117668152],[8.021753971175391]
25,stationary,5,"[101, 201]",StrapGA+S_4b,"[[6, 63802, 25370, 17406, 18, 51995, 94069]]",[36537],[65.35115790367126],[7.025555737183826]
26,stationary,5,"[101, 201]",StrapGA+S_4b,"[[65682, 87671, 3412, 56077, 32647]]",[56162],[93.22403597831726],[7.591009140014649]
27,stationary,5,"[101, 201]",StrapGA+S_4b,"[[13, 34483, 13672, 45903, 92403, 74232]]",[70774],[131.53694534301758],[8.13683102107284]
28,stationary,5,"[101, 201]",StrapGA+S_4b,"[[3321, 32876, 47781, 68410, 87028]]",[9362],[15.76542067527771],[7.843083976518989]
29,stationary,5,"[101, 201]",StrapGA+S_4b,"[[2, 76939, 0, 26656, 14912, 11, 85895, 51934]]",[203981],[360.0171597003937],[8.315113857004903]
30,stationary,5,"[101, 201]",StrapGA+S_4b,"[[13248, 68116, 33503, 55925, 88749]]",[38136],[69.16071367263794],[7.883527208082747]
31,stationary,5,"[101, 201]",StrapGA+S_4b,"[[16994, 27510, 98531, 10, 65402, 49183]]",[4505],[7.366512060165405],[7.2544131061818335]
32,stationary,5,"[101, 201]",StrapGA+S_4b,"[[36490, 55013, 12337, 94438, 15, 95452, 67245]]",[69725],[120.31929206848145],[8.215785086981139]
33,stationary,5,"[101, 201]",StrapGA+S_4b,"[[94397, 2, 66782, 23282, 54961, 14919]]",[185999],[318.4347093105316],[8.621796043320456]
34,stationary,5,"[101, 201]",StrapGA+S_4b,"[[48110, 85557, 10632, 12, 11429, 65494, 32276]]",[56052],[100.29127526283264],[7.297270448137037]
35,stationary,5,"[101, 201]",StrapGA+S_4b,"[[6572, 44503, 92701, 75700, 36451]]",[35067],[59.95614743232727],[7.8066048480496555]
36,stationary,5,"[101, 201]",StrapGA+S_4b,"[[16280, 48988, 67922, 56192, 87904, 27835]]",[46971],[82.78275728225708],[6.9932038448824745]
37,stationary,5,"[101, 201]",StrapGA+S_4b,"[[64425, 36726, 44874, 6015, 92558]]",[200758],[360.0003457069397],[8.70597289812447]
