scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,10,"[100, 100]",Labbe+SS,"[[40, 81701, 26908, 7, 14401, 36336, 11730, 64108, 74367, 98978, 46674, 51472, 68647, 54015, 2058]]",[706],[1.6682288646697998],[18.52369720458984]
1,stationary,10,"[100, 100]",Labbe+SS,"[[9, 68578, 21567, 41217, 55241, 88, 85574, 22971, 33714, 12948, 8601, 81, 76218, 58735, 95544, 8612, 88, 6146, 98601]]",[602],[1.4014785289764404],[20.754431190490724]
2,stationary,10,"[100, 100]",Labbe+SS,"[[8626, 98703, 45873, 49, 88352, 68575, 14, 33058, 56038, 26, 71221, 46108, 5363, 28627, 13623]]",[921],[2.066720962524414],[15.686778991222381]
3,stationary,10,"[100, 100]",Labbe+SS,"[[18, 81377, 63876, 28, 76369, 58864, 48733, 98709, 24532, 2801, 5306, 32809, 26341, 12450, 26433, 19, 5742, 18, 16217, 23053]]",[543],[1.2276902198791504],[18.890029859542846]
4,stationary,10,"[100, 100]",Labbe+SS,"[[32, 18, 91249, 44273, 81576, 31409, 58807, 68, 66248, 19, 3550, 78735, 26321, 18677, 33421]]",[641],[1.483989953994751],[19.368771095275882]
5,stationary,10,"[100, 100]",Labbe+SS,"[[58752, 88676, 91466, 17, 33968, 1542, 41210, 64701, 76378, 27409, 15243]]",[156],[0.3343770503997803],[12.223134131431578]
6,stationary,10,"[100, 100]",Labbe+SS,"[[24, 84539, 27, 98973, 16116, 41471, 28737, 76473, 64164, 51748, 38812, 71424, 16670, 29, 8302, 73205, 35912]]",[572],[1.2569644451141357],[20.068267679214475]
7,stationary,10,"[100, 100]",Labbe+SS,"[[48739, 19, 5635, 31302, 57, 92826, 51873, 65575, 71449, 88565, 75708, 22549, 23149, 25, 12149, 28511]]",[271],[0.5707268714904785],[18.98488500952721]
8,stationary,10,"[100, 100]",Labbe+SS,"[[34426, 57, 95975, 42668, 88636, 8312, 51213, 15251, 28365, 75201, 52130, 61904]]",[247],[0.5407569408416748],[14.008712291717531]
9,stationary,10,"[100, 100]",Labbe+SS,"[[22, 31353, 7, 67275, 74073, 18936, 96002, 43104, 8404, 20, 84236, 16728, 56751, 21730]]",[415],[0.8925726413726807],[16.09592878341675]
10,stationary,10,"[100, 100]",Labbe+SS,"[[85601, 56, 38451, 58004, 98828, 6527, 39, 66151, 22730, 77977, 43304, 13457]]",[214],[0.4318256378173828],[14.246275978088377]
11,stationary,10,"[100, 100]",Labbe+SS,"[[88733, 38756, 77, 77733, 14164, 21, 96458, 61777, 6010, 21451, 84833, 48509, 51901, 81925, 5223]]",[509],[1.11177659034729],[15.586282687187193]
12,stationary,10,"[100, 100]",Labbe+SS,"[[58, 1672, 45, 31220, 70, 28063, 73601, 85832, 73508, 91547, 88102, 66132, 65633, 45810, 14969, 68033, 92846, 55440]]",[639],[1.432159662246704],[18.77722227096558]
13,stationary,10,"[100, 100]",Labbe+SS,"[[75344, 65072, 81209, 8630, 22650, 12375, 38, 0, 33507, 58738, 76407, 98913, 48161, 4933]]",[362],[0.8377852439880371],[18.091021080017086]
14,stationary,10,"[100, 100]",Labbe+SS,"[[13, 84501, 46329, 35376, 28763, 6453, 41549, 14151, 74426, 57007, 91701, 68230, 41558, 71527, 3927]]",[457],[1.0234992504119873],[17.013416280746462]
15,stationary,10,"[100, 100]",Labbe+SS,"[[38, 6566, 16503, 51746, 73974, 91574, 64938, 41, 23108, 38037, 48871, 17, 86311, 18713]]",[345],[0.7235760688781738],[18.079097633361815]
16,stationary,10,"[100, 100]",Labbe+SS,"[[74, 51424, 91301, 16454, 4378, 61770, 34050, 37, 48229, 14727, 81347, 78604, 47368, 28639, 83704]]",[343],[0.7265157699584961],[15.584724531173707]
17,stationary,10,"[100, 100]",Labbe+SS,"[[1601, 83931, 31632, 48, 68225, 77902, 5607, 51401, 84, 22362, 14, 98276, 46750, 15773]]",[292],[0.6392850875854492],[16.035364570617677]
18,stationary,10,"[100, 100]",Labbe+SS,"[[27, 68206, 93938, 46343, 14414, 81702, 19, 71326, 33968, 8730, 28676, 27, 55678, 42369, 36350]]",[323],[0.7278375625610352],[17.103861675262447]
19,stationary,10,"[100, 100]",Labbe+SS,"[[35476, 62, 8504, 49, 19, 72226, 88335, 54608, 48471, 21678, 58, 91401, 11649, 24549, 82872, 67135]]",[904],[2.023768424987793],[20.491954975128174]
20,stationary,10,"[100, 100]",Labbe+SS,"[[36, 71342, 14, 58629, 85603, 11812, 67903, 25, 37157, 94426, 43849, 23, 4778, 81475, 24703]]",[491],[1.1222033500671387],[20.374412899017333]
21,stationary,10,"[100, 100]",Labbe+SS,"[[7707, 55, 54801, 73828, 81275, 21952, 44757, 66133, 11702, 28, 78669, 33227, 31328, 28, 33727, 11327, 92401, 18844, 32425, 28, 41826, 35563]]",[2860],[6.368090391159058],[22.57311701774597]
22,stationary,10,"[100, 100]",Labbe+SS,"[[13535, 25, 34804, 5932, 61247, 45958, 21874, 71410, 84, 88645, 58818, 78473, 92501]]",[239],[0.5015468597412109],[16.380514240264894]
23,stationary,10,"[100, 100]",Labbe+SS,"[[17, 48, 85301, 74875, 1977, 14628, 94552, 52002, 48634, 36, 68130, 38305, 44, 27159, 2034, 41259]]",[792],[1.747190237045288],[18.471392035484314]
24,stationary,10,"[100, 100]",Labbe+SS,"[[81202, 33513, 37, 51647, 4047, 48721, 26, 16339, 68968, 26666, 75810, 61876, 98960, 63477]]",[236],[0.4919874668121338],[14.787568559646608]
25,stationary,10,"[100, 100]",Labbe+SS,"[[87, 78909, 46601, 19, 91237, 78, 51360, 26131, 13532, 81212, 63506, 8955, 22, 7632, 37956, 24467]]",[387],[0.8467268943786621],[19.49522720813751]
26,stationary,10,"[100, 100]",Labbe+SS,"[[48, 14245, 41365, 84274, 98802, 66635, 46773, 49, 31972, 20, 62914, 7425, 75602, 28250, 51247]]",[403],[0.8762452602386475],[18.873462643623355]
27,stationary,10,"[100, 100]",Labbe+SS,"[[7, 74702, 38670, 51, 16534, 37, 61629, 91206, 4026, 43778, 26157, 52853, 88940, 37302, 88957]]",[651],[1.4429657459259033],[17.0935511469841]
28,stationary,10,"[100, 100]",Labbe+SS,"[[27878, 45575, 72, 33075, 72029, 56, 82303, 2652, 49, 15101, 94328, 67706, 26731, 58664]]",[459],[1.0135571956634521],[17.876767883300783]
29,stationary,10,"[100, 100]",Labbe+SS,"[[27, 22208, 91831, 41575, 74675, 55, 38509, 58467, 84242, 58836, 7172, 85302, 64146, 16542, 16438, 54, 15425, 64449]]",[383],[0.8507547378540039],[16.55465985774994]
30,stationary,10,"[100, 100]",Labbe+SS,"[[98811, 41265, 16506, 6, 53972, 61, 36443, 22826, 2603, 76275, 68745, 88778, 73549, 6372, 82402, 78878]]",[211],[0.44856953620910645],[18.405918717384335]
31,stationary,10,"[100, 100]",Labbe+SS,"[[77, 31304, 74701, 9, 21, 67852, 86276, 85375, 81230, 57378, 97910, 98323, 84, 18613, 25928, 42568, 5073, 25048, 85725, 42449, 2778, 95074]]",[1522],[3.507519245147705],[22.63667512893677]
32,stationary,10,"[100, 100]",Labbe+SS,"[[8, 15307, 53530, 27038, 59, 41268, 81236, 3658, 67, 98761, 38401, 62, 56473, 74734, 62412]]",[377],[0.801398754119873],[18.668349742889404]
33,stationary,10,"[100, 100]",Labbe+SS,"[[32, 25676, 17, 43529, 72352, 88802, 16, 58873, 8741, 94653, 1506, 18338, 35, 65204, 33076]]",[292],[0.6339685916900635],[19.39442050933838]
34,stationary,10,"[100, 100]",Labbe+SS,"[[11376, 19, 87176, 74176, 27, 65527, 41719, 85, 32645, 54101, 97201, 30, 2846, 27051, 37924]]",[350],[0.7542438507080078],[18.261127128601075]
35,stationary,10,"[100, 100]",Labbe+SS,"[[29, 72002, 46, 88874, 46176, 85, 64720, 51429, 28, 24744, 92152, 31775, 17032, 7, 18905, 27744, 4453]]",[511],[1.0919075012207031],[19.614285364151]
36,stationary,10,"[100, 100]",Labbe+SS,"[[45, 71809, 15304, 91276, 28973, 64149, 38, 38850, 58624, 1537, 96556, 81274, 43676]]",[300],[0.6517336368560791],[16.818959197998044]
37,stationary,10,"[100, 100]",Labbe+SS,"[[3, 57604, 28527, 75876, 28, 2064, 85643, 48550, 98878, 61303, 47951, 30, 12133, 34107, 48052, 47950, 48850, 63, 16566, 43032, 78952]]",[737],[1.6905357837677002],[22.211764608621596]
38,stationary,10,"[100, 100]",Labbe+SS,"[[25, 28, 45004, 75178, 98933, 6, 62251, 58962, 22213, 30, 12378, 88004, 5454, 26628, 32618]]",[798],[1.705310583114624],[17.794070053100583]
39,stationary,10,"[100, 100]",Labbe+SS,"[[68949, 23855, 71364, 93878, 1328, 86503, 38921, 86003, 15, 56373, 43403, 15029]]",[149],[0.2988452911376953],[14.56241184234619]
