scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[35486, 14427, 32773, 44429]]",[7351],[16.870543718338013],[12.100000000000001]
1,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[25052, 54649, 4184]]",[375],[0.8257815837860107],[9.100000000000001]
2,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[3969, 53785, 30425]]",[186],[0.4110383987426758],[10.8]
3,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[0, 25627, 14437, 51364]]",[3507],[7.836543321609497],[11.740000000000002]
4,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[25883, 0, 27228, 4, 11969, 44371]]",[8669],[19.716700553894043],[12.520000000000003]
5,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[6925, 26786, 56052, 7653]]",[1026],[2.3591713905334473],[10.48]
6,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[43645, 5584, 33049, 11980]]",[3648],[7.949481725692749],[11.260000000000002]
7,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[12934, 56374, 8243, 28974]]",[18417],[43.07021737098694],[13.940000000000001]
8,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[30083, 56172, 8836, 27785]]",[6269],[14.895874261856079],[12.72]
9,mobile,3,"[100, 200]",StrapGA+S_sort_4b,"[[7481, 25832, 48158, 13228]]",[6980],[16.496921062469482],[12.86]
