scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[10, 8284, 58134, 18, 94762, 19, 113152, 65277, 35926]]",[202102],[360.0167043209076],[8.969492948173295]
1,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[4, 109526, 16, 27076, 66172, 91165, 43204, 13659]]",[191261],[360.0291714668274],[8.835454389364413]
2,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[63650, 95926, 52579, 28384, 17869, 112703]]",[201724],[360.01750111579895],[9.188268823906927]
3,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[56550, 23048, 3, 91958, 5282, 105514, 78099]]",[197512],[360.0168035030365],[8.627368987432801]
4,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[31482, 45926, 3088, 24, 119387, 93466, 63888]]",[10726],[18.871378183364868],[7.583883893607866]
5,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[17, 50812, 9, 113818, 36260, 85431, 7336, 53872, 68518]]",[174588],[360.0041401386261],[11.626210437434734]
6,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[34314, 55870, 86956, 112643, 69102, 3634, 66501]]",[180492],[360.0185852050781],[9.171595454452062]
7,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[5845, 107236, 46887, 98074, 63486, 36848, 110465]]",[204306],[360.0083439350128],[9.589365132020252]
8,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[92937, 68069, 55844, 6, 57683, 29907, 107593, 15817]]",[167485],[360.00922870635986],[8.769732443176874]
9,stationary,6,"[101, 201]",StrapGA+S_sort_4b,"[[64276, 56255, 111424, 87157, 35672, 9425]]",[68789],[137.14483070373535],[9.05754677800849]
