scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,6,"[100, 100]",StrapGA+S_6b,"[[57396, 31247, 25189, 3, 43104, 5415, 13764]]",[216582],[360.03681993484497],[6.748170070648193]
1,stationary,6,"[100, 100]",StrapGA+S_6b,"[[48363, 27298, 19, 55092, 15, 6448, 34146, 12800]]",[219224],[360.0044765472412],[5.680034160614014]
2,stationary,6,"[100, 100]",StrapGA+S_6b,"[[21577, 51847, 44085, 16884, 39047, 6152]]",[37135],[57.41380977630615],[5.537251443862915]
3,stationary,6,"[100, 100]",StrapGA+S_6b,"[[24, 58782, 44875, 24850, 8208, 11804, 34104]]",[221782],[360.0177392959595],[6.21976454257965]
4,stationary,6,"[100, 100]",StrapGA+S_6b,"[[43441, 7668, 15704, 22315, 51042, 35371]]",[110267],[179.9903428554535],[6.045685396194458]
5,stationary,6,"[100, 100]",StrapGA+S_6b,"[[52745, 38402, 45976, 2775, 25019, 11616]]",[158117],[257.28266406059265],[6.171454429626466]
6,stationary,6,"[100, 100]",StrapGA+S_6b,"[[0, 12054, 4356, 34220, 24, 57919, 41810, 27762]]",[214976],[360.0005807876587],[6.614888725280761]
7,stationary,6,"[100, 100]",StrapGA+S_6b,"[[14209, 36142, 23581, 1188, 24, 59052, 48289]]",[220621],[360.00686526298523],[6.428388175964356]
8,stationary,6,"[100, 100]",StrapGA+S_6b,"[[38606, 24981, 45659, 11774, 51093, 6602]]",[67271],[106.84677267074585],[5.740256090164185]
9,stationary,6,"[100, 100]",StrapGA+S_6b,"[[23195, 12515, 21757, 4690, 34662, 56112, 48253]]",[219583],[360.0092360973358],[6.828228969573974]
