scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[165448],[360.01826524734497],[None]
1,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[166480],[360.0048246383667],[None]
2,stationary,4,"[100, 100]",StrapGA+S_4b,"[[23293, 9, 4655, 28246, 13093, 37894]]",[175161],[360.0090489387512],[6.359136734008789]
3,stationary,4,"[100, 100]",StrapGA+S_4b,"[[1, 24029, 13278, 37094, 7558]]",[185420],[360.0071449279785],[5.541624064445495]
4,stationary,4,"[100, 100]",StrapGA+S_4b,"[[9, 4, 27775, 13794, 4738, 38229]]",[37834],[64.87498068809509],[4.793443965911865]
5,stationary,4,"[100, 100]",StrapGA+S_4b,"[[5, 31892, 26391, 12454, 5955]]",[50634],[89.72360515594482],[4.922010650634766]
6,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[198728],[360.0097243785858],[None]
7,stationary,4,"[100, 100]",StrapGA+S_4b,"[[3, 35994, 5959, 12031, 22089]]",[91052],[175.59295439720154],[5.461892890930176]
8,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[239994],[360.0148403644562],[None]
9,stationary,4,"[100, 100]",StrapGA+S_4b,"[[6, 38033, 13831, 6968, 22478]]",[190661],[336.30952072143555],[5.102123470306396]
10,stationary,4,"[100, 100]",StrapGA+S_4b,"[[9, 16383, 22387, 5646, 31830]]",[139343],[263.5961971282959],[5.306324100494384]
11,stationary,4,"[100, 100]",StrapGA+S_4b,"[[0, 12590, 36594, 27459, 3952]]",[192045],[360.0020227432251],[5.755088472366333]
12,stationary,4,"[100, 100]",StrapGA+S_4b,"[[22889, 5, 37936, 17878, 4347]]",[19216],[34.754626512527466],[4.494743194580078]
13,stationary,4,"[100, 100]",StrapGA+S_4b,"[[5, 23144, 7951, 32681, 17390]]",[187521],[360.0107352733612],[5.431715183258056]
14,stationary,4,"[100, 100]",StrapGA+S_4b,"[[5, 32086, 8242, 25586, 12743]]",[188901],[348.59848499298096],[5.7188550376892096]
15,stationary,4,"[100, 100]",StrapGA+S_4b,"[[0, 35739, 11740, 23475, 17989, 1939]]",[230889],[360.00329327583313],[7.562124404907227]
16,stationary,4,"[100, 100]",StrapGA+S_4b,"[[2, 36829, 0, 18065, 1, 24191, 2952]]",[36871],[66.24979758262634],[4.742060527801514]
17,stationary,4,"[100, 100]",StrapGA+S_4b,"[[12474, 9, 23533, 7633, 38277]]",[9493],[17.17790961265564],[4.839131536483764]
18,stationary,4,"[100, 100]",StrapGA+S_4b,"[[1, 26280, 5929, 32139, 12684]]",[8863],[16.4953396320343],[4.093086743354798]
19,stationary,4,"[100, 100]",StrapGA+S_4b,"[[5, 37629, 22431, 7272, 13279]]",[113965],[212.2998640537262],[5.850798320770263]
20,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[250100],[360.0095582008362],[None]
21,stationary,4,"[100, 100]",StrapGA+S_4b,"[[6, 1735, 8, 35933, 22380, 17077]]",[216215],[360.0099048614502],[4.974838733673096]
22,stationary,4,"[100, 100]",StrapGA+S_4b,"[[7, 2973, 37394, 13329, 27758]]",[89671],[166.311425447464],[5.14521876335144]
23,stationary,4,"[100, 100]",StrapGA+S_4b,"[[15440, 31837, 22076, 6882]]",[2296],[3.642151117324829],[2.983685863018036]
24,stationary,4,"[100, 100]",StrapGA+S_4b,"[[0, 16790, 32880, 26330, 2345]]",[129716],[236.52661728858948],[5.1031950139999385]
25,stationary,4,"[100, 100]",StrapGA+S_4b,"[[2, 36529, 21988, 13030, 5666]]",[45497],[84.19991040229797],[5.111815629005433]
26,stationary,4,"[100, 100]",StrapGA+S_4b,"[[0, 26932, 31893, 12347, 6068]]",[80189],[148.78240036964417],[5.390915565490723]
27,stationary,4,"[100, 100]",StrapGA+S_4b,"[[4, 2691, 36838, 27179, 11747]]",[24342],[44.66430711746216],[4.746601276397706]
28,stationary,4,"[100, 100]",StrapGA+S_4b,"[[11, 7788, 17838, 22050, 33792]]",[112532],[199.15417098999023],[5.151597690582276]
29,stationary,4,"[100, 100]",StrapGA+S_4b,[None],[167024],[360.00763154029846],[None]
30,stationary,4,"[100, 100]",StrapGA+S_4b,"[[6, 11, 6684, 26629, 31930, 12066]]",[80143],[143.1535186767578],[4.964659757614136]
31,stationary,4,"[100, 100]",StrapGA+S_4b,"[[3, 11, 27791, 32629, 2872, 16938]]",[185704],[360.0146508216858],[5.771538066864013]
32,stationary,4,"[100, 100]",StrapGA+S_4b,"[[11, 23030, 38290, 3, 6553, 12973]]",[177621],[340.6891219615936],[5.600935688018799]
33,stationary,4,"[100, 100]",StrapGA+S_4b,"[[3, 23091, 38191, 3348, 17856]]",[144607],[270.58459544181824],[5.574840564727784]
34,stationary,4,"[100, 100]",StrapGA+S_4b,"[[4, 23242, 12883, 2, 38136, 7183]]",[62183],[121.00806879997253],[5.012600426673889]
35,stationary,4,"[100, 100]",StrapGA+S_4b,"[[3343, 36839, 17780, 23183]]",[2845],[4.578730821609497],[3.513315963745117]
36,stationary,4,"[100, 100]",StrapGA+S_4b,"[[5, 36436, 3, 1, 22731, 2782, 17671]]",[128490],[235.0129623413086],[5.135859260559082]
37,stationary,4,"[100, 100]",StrapGA+S_4b,"[[6, 3249, 13887, 37794, 17058, 2980, 22536]]",[193761],[360.0072431564331],[6.358946647644043]
38,stationary,4,"[100, 100]",StrapGA+S_4b,"[[2944, 11, 22687, 38147, 16186, 4134]]",[192074],[360.00846099853516],[5.512195777893066]
39,stationary,4,"[100, 100]",StrapGA+S_4b,"[[1, 26876, 12586, 37830, 23445, 8174]]",[194127],[360.0091164112091],[5.379670190811158]
