scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,3,"[100, 200]",Labbe+S,"[[49234, 9492, 28951]]",[6],[0.010465860366821289],[11.600000000000001]
1,mobile,3,"[100, 200]",Labbe+S,"[[28965, 12905, 4, 8447, 49506]]",[14],[0.3945889472961426],[10.059999999999999]
2,mobile,3,"[100, 200]",Labbe+S,[None],[10965],[16.191519260406494],[None]
3,mobile,3,"[100, 200]",Labbe+S,"[[54306, 3, 10768, 26646]]",[8],[0.016000747680664062],[12.420000000000002]
4,mobile,3,"[100, 200]",Labbe+S,"[[2, 47637, 8304, 29772]]",[11],[0.022333383560180664],[15.700000000000001]
5,mobile,3,"[100, 200]",Labbe+S,"[[28240, 5901, 48761]]",[6],[0.009879827499389648],[8.82]
6,mobile,3,"[100, 200]",Labbe+S,"[[0, 46305, 33165, 13446]]",[9],[0.019301176071166992],[14.0]
7,mobile,3,"[100, 200]",Labbe+S,"[[7971, 0, 30170, 52636, 11894]]",[22],[0.050443410873413086],[16.96]
8,mobile,3,"[100, 200]",Labbe+S,[None],[12784],[18.603414297103882],[None]
9,mobile,3,"[100, 200]",Labbe+S,[None],[49206],[76.4432315826416],[None]
