scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,6,"[101, 101]",Labbe+S,"[[52458, 2646, 22084, 16646, 36212, 44419]]",[24],[0.0385594367980957],[7.454395796520875]
1,stationary,6,"[101, 101]",Labbe+S,"[[56562, 28977, 31858, 6543, 16418, 43114]]",[21],[0.03145933151245117],[7.261497305879498]
2,stationary,6,"[101, 101]",Labbe+S,"[[34863, 52533, 41855, 14230, 10, 47771, 2169, 27838]]",[38],[0.09205794334411621],[9.596132746781452]
3,stationary,6,"[101, 101]",Labbe+S,"[[2241, 34281, 56271, 28948, 42313, 14202]]",[25],[0.04153108596801758],[6.659096974665577]
4,stationary,6,"[101, 101]",Labbe+S,"[[14851, 6569, 25118, 32161, 54481, 49992]]",[22],[0.035068511962890625],[6.935772961437111]
5,stationary,6,"[101, 101]",Labbe+S,"[[35093, 21679, 11498, 57065, 49684, 3833]]",[21],[0.026554346084594727],[6.124967180384268]
6,stationary,6,"[101, 101]",Labbe+S,"[[54660, 21732, 13319, 47612, 39147, 6775]]",[28],[0.04124116897583008],[5.731192940060454]
7,stationary,6,"[101, 101]",Labbe+S,"[[44255, 16434, 2872, 56401, 37790, 24128]]",[34],[0.048621177673339844],[6.491004199792844]
8,stationary,6,"[101, 101]",Labbe+S,"[[14491, 35720, 48324, 22392, 59871, 1225, 16471]]",[40],[0.07487010955810547],[8.146030373148399]
9,stationary,6,"[101, 101]",Labbe+S,"[[41779, 35507, 60165, 6847, 11722, 25460]]",[21],[0.0359499454498291],[7.427962399473284]
