scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[37293, 55061, 28164, 41786, 13010, 64269, 53986, 3129]]",[202581],[360.014506816864],[7.85002909178781]
1,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[3, 41, 56833, 35073, 27943, 16557, 70346, 42292, 3496]]",[206841],[360.04212760925293],[7.26131171802483]
2,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[47843, 26493, 3910, 34352, 59789, 11521, 62885]]",[220128],[360.0119597911835],[6.521447204363228]
3,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[47376, 25067, 32504, 69567, 53281, 2, 33205, 1131, 23248, 16214]]",[211499],[360.0061454772949],[7.775481025771341]
4,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[13950, 49951, 21531, 39310, 62191, 7032, 55511]]",[226711],[360.0154814720154],[7.848773591825277]
5,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[29674, 34313, 47651, 57878, 67198, 57984, 6923, 14246]]",[200238],[360.0162932872772],[7.191181589825318]
6,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[29448, 52204, 38687, 63048, 41880, 0, 17132, 5752]]",[206397],[360.00743532180786],[7.587984336248718]
7,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[8578, 31467, 46664, 9381, 62513, 52393, 24054, 14128]]",[216851],[360.0183675289154],[7.282664200811103]
8,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[54025, 16158, 25831, 34310, 47016, 62081, 1727]]",[222922],[360.042090177536],[6.2401933943871235]
9,stationary,7,"[101, 101]",StrapGA+S_sort_4b,"[[17558, 1390, 24294, 63953, 60115, 46516, 34921]]",[165563],[275.6949098110199],[6.776200043328918]
