scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,3,"[100, 100]",StrapGA+S_4b,"[[16390, 2255, 27758]]",[452],[0.7817513942718506],[3.709143352508545]
1,stationary,3,"[100, 100]",StrapGA+S_4b,"[[11638, 25074, 6245, 26419]]",[891],[1.709174394607544],[3.7275652503967285]
2,stationary,3,"[100, 100]",StrapGA+S_4b,"[[18647, 5543, 23037]]",[134],[0.23678302764892578],[2.336480188369751]
3,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2793, 12722, 23860]]",[333],[0.5732822418212891],[3.337744560241699]
4,stationary,3,"[100, 100]",StrapGA+S_4b,"[[16085, 21639, 4446]]",[126],[0.21855854988098145],[2.4304856204986574]
5,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3, 23820, 16839, 8564]]",[117],[0.1959211826324463],[3.2225098037719726]
6,stationary,3,"[100, 100]",StrapGA+S_4b,"[[21759, 2, 6587, 15757]]",[428],[0.7574725151062012],[3.0403940486907963]
7,stationary,3,"[100, 100]",StrapGA+S_4b,"[[17538, 1, 24671, 4238]]",[437],[0.8674640655517578],[3.192628021240234]
8,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 8167, 17336, 26293]]",[869],[1.5392537117004395],[3.89935173034668]
9,stationary,3,"[100, 100]",StrapGA+S_4b,"[[28744, 12877, 4431]]",[706],[1.3014860153198242],[3.9369481658935546]
10,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3441, 3, 28430, 15954]]",[398],[0.7374205589294434],[3.477890682220459]
11,stationary,3,"[100, 100]",StrapGA+S_4b,"[[4, 6440, 14082, 23948]]",[2121],[3.865125894546509],[3.9283247470855716]
12,stationary,3,"[100, 100]",StrapGA+S_4b,"[[14431, 21618, 5178]]",[173],[0.30561137199401855],[3.3419047927856447]
13,stationary,3,"[100, 100]",StrapGA+S_4b,"[[15939, 24793, 5264]]",[43],[0.0757293701171875],[2.7123356151580813]
14,stationary,3,"[100, 100]",StrapGA+S_4b,"[[1389, 25142, 16887]]",[381],[0.6655077934265137],[3.4946051406860352]
15,stationary,3,"[100, 100]",StrapGA+S_4b,"[[5385, 14518, 24647, 17838]]",[761],[1.3991913795471191],[3.5851922845840454]
16,stationary,3,"[100, 100]",StrapGA+S_4b,"[[1982, 14626, 27968]]",[271],[0.4528193473815918],[3.513550887107849]
17,stationary,3,"[100, 100]",StrapGA+S_4b,"[[16272, 3167, 21925]]",[487],[0.9292047023773193],[3.649782428741455]
18,stationary,3,"[100, 100]",StrapGA+S_4b,"[[0, 23840, 14590, 7864]]",[1547],[2.777496814727783],[3.904503479003907]
19,stationary,3,"[100, 100]",StrapGA+S_4b,"[[13535, 7580, 28119]]",[181],[0.2955203056335449],[3.27569730758667]
20,stationary,3,"[100, 100]",StrapGA+S_4b,"[[12449, 8079, 26333]]",[131],[0.2337474822998047],[2.923102350234985]
21,stationary,3,"[100, 100]",StrapGA+S_4b,"[[22189, 3623, 14153]]",[160],[0.26749539375305176],[3.5916714668273926]
22,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3325, 13284, 26769]]",[45],[0.07607841491699219],[3.409093475341797]
23,stationary,3,"[100, 100]",StrapGA+S_4b,"[[2, 6939, 14343, 21454]]",[289],[0.5035297870635986],[2.8630580139160156]
24,stationary,3,"[100, 100]",StrapGA+S_4b,"[[5439, 23889, 18334]]",[136],[0.2296311855316162],[3.3529261779785156]
25,stationary,3,"[100, 100]",StrapGA+S_4b,"[[26590, 18048, 3956]]",[244],[0.4152188301086426],[3.28122766494751]
26,stationary,3,"[100, 100]",StrapGA+S_4b,"[[5437, 21755, 16463]]",[105],[0.186934232711792],[3.0260754966735837]
27,stationary,3,"[100, 100]",StrapGA+S_4b,"[[8067, 12369, 28642]]",[118],[0.21150875091552734],[3.470052947998047]
28,stationary,3,"[100, 100]",StrapGA+S_4b,"[[0, 13334, 5954, 23185]]",[484],[0.8508744239807129],[2.966570301055908]
29,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3543, 26165, 13292]]",[581],[1.0835676193237305],[4.225009346008301]
30,stationary,3,"[100, 100]",StrapGA+S_4b,"[[7351, 15882, 26219]]",[110],[0.1831676959991455],[2.716009950637818]
31,stationary,3,"[100, 100]",StrapGA+S_4b,"[[12259, 22384, 6327]]",[504],[0.8641707897186279],[3.649608993530274]
32,stationary,3,"[100, 100]",StrapGA+S_4b,"[[28181, 15082, 2069, 16253]]",[1405],[2.608905553817749],[4.5217014503479005]
33,stationary,3,"[100, 100]",StrapGA+S_4b,"[[1, 25476, 7422, 12550]]",[360],[0.6360266208648682],[3.5579893684387205]
34,stationary,3,"[100, 100]",StrapGA+S_4b,"[[12042, 21288, 5447]]",[169],[0.2858543395996094],[3.2060234642028806]
35,stationary,3,"[100, 100]",StrapGA+S_4b,"[[25048, 16586, 1626]]",[512],[0.9238126277923584],[3.821973114013672]
36,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3, 26040, 17193, 2767]]",[669],[1.2227306365966797],[3.750340518951416]
37,stationary,3,"[100, 100]",StrapGA+S_4b,"[[15375, 1945, 28546]]",[118],[0.18016362190246582],[2.8586794662475588]
38,stationary,3,"[100, 100]",StrapGA+S_4b,"[[25984, 8243, 13529]]",[43],[0.07018327713012695],[2.6322446250915528]
39,stationary,3,"[100, 100]",StrapGA+S_4b,"[[3620, 26918, 16874]]",[225],[0.3663198947906494],[3.2019165611267093]
