scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,5,"[101, 101]",Labbe+SS,"[[18179, 33803, 1254, 47025, 23772]]",[15],[0.02094411849975586],[5.893791217615108]
1,stationary,5,"[101, 101]",Labbe+SS,"[[22077, 42554, 18997, 3623, 37830]]",[15],[0.020699262619018555],[5.181143128045714]
2,stationary,5,"[101, 101]",Labbe+SS,"[[12122, 32804, 46431, 8585, 26806]]",[15],[0.0201113224029541],[5.191412481931176]
3,stationary,5,"[101, 101]",Labbe+SS,"[[39375, 12358, 8087, 45449, 26622]]",[17],[0.028383731842041016],[6.269252795984249]
4,stationary,5,"[101, 101]",Labbe+SS,"[[1908, 17369, 38109, 42961, 27946]]",[15],[0.020421504974365234],[5.69719394362799]
5,stationary,5,"[101, 101]",Labbe+SS,"[[39458, 25110, 1242, 47098, 17178]]",[17],[0.03003668785095215],[6.590693728758557]
6,stationary,5,"[101, 101]",Labbe+SS,"[[25396, 49546, 12253, 33734, 2888]]",[17],[0.031201601028442383],[5.564005134129288]
7,stationary,5,"[101, 101]",Labbe+SS,"[[13799, 1859, 28651, 49178, 35963]]",[15],[0.027628183364868164],[5.951477749512927]
8,stationary,5,"[101, 101]",Labbe+SS,"[[1553, 34387, 24542, 49862, 16507]]",[15],[0.028406381607055664],[5.477262478063603]
9,stationary,5,"[101, 101]",Labbe+SS,"[[8845, 11748, 22688, 32315, 49294]]",[17],[0.029522180557250977],[6.926640727732441]
