scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[18179, 33803, 8, 1254, 23772, 47025]]",[13133],[22.661638736724854],[5.55953960796394]
1,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[18997, 37830, 22077, 3623, 42554]]",[18310],[31.1795871257782],[4.990816720641486]
2,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[12122, 8585, 26806, 32804, 46431]]",[6983],[11.020925283432007],[4.873716113590958]
3,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[39375, 8087, 12358, 45449, 26622]]",[116163],[206.38111686706543],[5.930153742875203]
4,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[17369, 16, 1908, 42961, 38109, 27946]]",[7381],[12.126180171966553],[4.6635957821761025]
5,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[25110, 47098, 39458, 1242, 17178]]",[176820],[317.7891185283661],[6.412548008531627]
6,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[25396, 12253, 49546, 33734, 2888]]",[95068],[168.68795204162598],[5.500559240284533]
7,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[13799, 1859, 18, 28651, 49178, 35963]]",[87545],[164.3407497406006],[5.711271316226167]
8,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[1553, 34387, 24542, 16507, 49862]]",[36669],[65.02386426925659],[5.39302370807912]
9,stationary,5,"[101, 101]",StrapGA+S_sort_4b,"[[22192, 8845, 49294, 32315, 22688, 11748]]",[31717],[57.258217334747314],[6.061578431459937]
